PlayerSeasonID,Season,PlayerID,Name,WorldGolfRank,WorldGolfRankLastWeek,Events,AveragePoints,TotalPoints,PointsLost,PointsGained
11019,2025,40005133,Jacob Bridgeman,37.0,37.0,29,0.5,48.4,-22.1,51.5
10888,2025,40003193,Nicolai Hojgaard,37.0,51.0,28,0.5,47.9,-41.7,40.7
10955,2025,40000215,Laurie Canter,38.0,36.0,22,0.5,38.7,-22.5,39.1
11047,2025,40005299,Aldrich Potgieter,38.0,37.0,26,0.5,43.9,-13.8,44.4
11007,2025,40003594,Michael Thorbjornsen,39.0,39.0,19,0.5,36.6,-11.2,31.9
10855,2025,40001199,Jon Rahm,39.0,38.0,4,0.5,36.3,-47.6,26.0
10944,2025,40002741,Rico Hoey,40.0,41.0,30,0.5,46.9,-21.4,38.0
11058,2025,40002579,Adrien Saddier,41.0,40.0,28,0.5,46.8,-12.8,43.9
10984,2025,40004911,Daniel Brown,41.0,43.0,27,0.5,45.8,-18.8,40.5
10856,2025,40000423,Tony Finau,42.0,39.0,23,0.5,38.9,-48.9,24.4
10894,2025,40003151,Kevin Yu,42.0,38.0,29,0.5,45.7,-29.9,36.9
10907,2025,40001495,Jhonattan Vegas,43.0,44.0,25,0.5,40.3,-22.9,32.7
10904,2025,40000003,Rickie Fowler,43.0,42.0,24,0.5,39.4,-31.9,35.0
10885,2025,40002583,Christiaan Bezuidenhout,44.0,42.0,30,0.5,45.4,-43.8,37.2
10886,2025,40000659,Mackenzie Hughes,44.0,43.0,29,0.5,44.9,-39.2,33.4
10940,2025,40003147,Tom McKibbin,45.0,45.0,22,0.5,35.3,-22.5,26.8
10854,2025,40000045,Byeong-Hun An,45.0,44.0,28,0.5,44.7,-52.5,29.0
10897,2025,40000634,Tom Hoge,46.0,46.0,30,0.5,44.5,-40.2,40.1
10872,2025,40003769,Davis Thompson,46.0,45.0,28,0.5,44.4,-39.9,26.8
10933,2025,40003650,Matthias Schmid,47.0,52.0,35,0.5,44.3,-27.6,39.5
11138,2025,40000859,Hao-Tong Li,47.0,46.0,26,0.4,41.1,-12.7,43.4
10913,2025,40002515,Jordan L. Smith,48.0,52.0,30,0.4,43.4,-27.3,34.7
11057,2025,40005865,Neal Shipley,49.0,47.0,22,0.4,34.0,-10.2,31.3
10915,2025,40000775,Jake Knapp,49.0,47.0,25,0.4,38.1,-30.0,36.1
10851,2025,40004287,Tom Kim,50.0,49.0,29,0.4,42.5,-59.4,21.8
10943,2025,40001224,Davis Riley,50.0,49.0,28,0.4,42.5,-26.2,38.4
10924,2025,40004738,Rasmus Neergaard-Petersen,51.0,50.0,28,0.4,42.3,-21.8,36.9
10929,2025,40001123,John Parry,51.0,53.0,31,0.4,42.2,-19.6,29.1
10843,2025,40002486,Sahith Theegala,52.0,48.0,25,0.4,38.1,-69.1,11.9
10883,2025,40000695,Stephan Jaeger,52.0,50.0,28,0.4,41.8,-44.4,32.9
10916,2025,40000540,Emiliano Grillo,53.0,51.0,28,0.4,41.5,-31.7,38.5
10896,2025,40001089,Thorbjorn Olesen,53.0,55.0,30,0.4,40.7,-34.3,29.8
