lastName,firstName,playerId,isAmateur,courseId,status,position,total,currentRoundScore,totalStrokesFromCompletedRounds,currentHole,startingHole,roundComplete,rounds,thru,currentRound,teeTime,teeTimeTimestamp,tournament_name,fetched_at
Hitchner,Derek,60531,False,927,complete,T139,+15,+2,295,{'$numberInt': '9'},{'$numberInt': '10'},True,"[{'scoreToPar': '+3', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '73'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+4', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '74'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+6', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '76'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+2', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '72'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}]",F*,{'$numberInt': '4'},8:50am,{'$date': {'$numberLong': '1734270600000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Hall,Jake,65018,False,927,complete,T141,+16,+2,296,{'$numberInt': '9'},{'$numberInt': '10'},True,"[{'scoreToPar': '+2', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '72'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+10', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '80'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+2', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '72'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+2', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '72'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}]",F*,{'$numberInt': '4'},9:00am,{'$date': {'$numberLong': '1734271200000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Gupta,Aman,60011,False,927,complete,T141,+16,E,296,{'$numberInt': '9'},{'$numberInt': '10'},True,"[{'scoreToPar': '+5', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '75'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+8', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '78'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+3', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '73'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': 'E', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '70'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}]",F*,{'$numberInt': '4'},9:30am,{'$date': {'$numberLong': '1734273000000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Jones,Dawson,65545,False,927,complete,T141,+16,-1,296,{'$numberInt': '9'},{'$numberInt': '10'},True,"[{'scoreToPar': '+8', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '78'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+1', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '71'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+8', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '78'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '-1', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '69'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}]",F*,{'$numberInt': '4'},9:30am,{'$date': {'$numberLong': '1734273000000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Choi,Sam,55460,False,927,complete,T144,+17,+7,297,{'$numberInt': '9'},{'$numberInt': '10'},True,"[{'scoreToPar': '+7', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '77'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+8', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '78'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '-5', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '65'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+7', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '77'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}]",F*,{'$numberInt': '4'},8:00am,{'$date': {'$numberLong': '1734267600000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Smith,Steffen,58877,False,927,complete,T144,+17,+2,297,{'$numberInt': '9'},{'$numberInt': '10'},True,"[{'scoreToPar': '+1', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '71'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+11', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '81'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+3', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '73'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+2', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '72'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}]",F*,{'$numberInt': '4'},9:10am,{'$date': {'$numberLong': '1734271800000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Davis,Ryan,58694,False,927,complete,T144,+17,+2,297,{'$numberInt': '9'},{'$numberInt': '10'},True,"[{'scoreToPar': '+1', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '71'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+15', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '85'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '-1', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '69'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+2', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '72'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}]",F*,{'$numberInt': '4'},9:20am,{'$date': {'$numberLong': '1734272400000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Houchin,John,65462,False,927,complete,T147,+18,+3,298,{'$numberInt': '9'},{'$numberInt': '10'},True,"[{'scoreToPar': '+10', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '80'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+4', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '74'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+1', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '71'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+3', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '73'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}]",F*,{'$numberInt': '4'},9:10am,{'$date': {'$numberLong': '1734271800000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Perkins,David,59025,False,927,complete,T147,+18,+1,298,{'$numberInt': '9'},{'$numberInt': '10'},True,"[{'scoreToPar': '+6', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '76'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+7', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '77'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+4', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '74'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+1', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '71'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}]",F*,{'$numberInt': '4'},9:40am,{'$date': {'$numberLong': '1734273600000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Longmire,David,54404,False,927,complete,T147,+18,-3,298,{'$numberInt': '9'},{'$numberInt': '10'},True,"[{'scoreToPar': '+9', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '79'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+11', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '81'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '+1', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '71'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}, {'scoreToPar': '-3', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '67'}, 'courseId': '927', 'courseName': 'Sawgrass Country Club'}]",F*,{'$numberInt': '4'},9:50am,{'$date': {'$numberLong': '1734274200000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
