PlayerSeasonID,Season,PlayerID,Name,WorldGolfRank,WorldGolfRankLastWeek,Events,AveragePoints,TotalPoints,PointsLost,PointsGained
9601,2024,40001274,Scottie Scheffler,2.0,2.0,55,20.5,862.9,0.0,0.0
9606,2024,40001638,Xander Schauffele,3.0,3.0,57,12.1,522.5,0.0,0.0
9602,2024,40000965,Rory McIlroy,5.0,5.0,62,10.1,475.0,0.0,0.0
9613,2024,40002471,Collin Morikawa,7.0,7.0,58,9.4,313.7,0.0,0.0
9629,2024,40003252,Ludvig Aberg,9.0,9.0,51,9.2,280.1,0.0,0.0
9646,2024,40000017,Hideki Matsuyama,10.0,10.0,59,8.2,279.9,0.0,0.0
9610,2024,40002651,Wyndham Clark,12.0,12.0,61,8.0,281.5,0.0,0.0
9604,2024,40003218,Viktor Hovland,11.0,11.0,53,7.5,228.8,0.0,0.0
9614,2024,40000432,Tommy Fleetwood,12.0,12.0,68,6.6,259.7,0.0,0.0
9755,2024,40000322,Bryson DeChambeau,13.0,13.0,12,6.5,198.6,0.0,0.0
9605,2024,40000216,Patrick Cantlay,14.0,14.0,50,6.1,185.4,0.0,0.0
9616,2024,40000152,Keegan Bradley,16.0,16.0,59,6.1,208.0,0.0,0.0
9632,2024,40002486,Sahith Theegala,17.0,17.0,67,6.1,235.3,0.0,0.0
9656,2024,40002950,Robert MacIntyre,18.0,18.0,78,5.8,231.1,0.0,0.0
9612,2024,40000596,Tyrrell Hatton,20.0,20.0,49,5.7,174.4,0.0,0.0
9663,2024,40000016,Billy Horschel,21.0,21.0,66,5.7,217.9,0.0,0.0
9624,2024,40000615,Russell Henley,22.0,22.0,54,5.6,174.5,0.0,0.0
9644,2024,40000010,Adam Scott,24.0,24.0,63,5.2,191.2,0.0,0.0
9626,2024,40001434,Justin Thomas,25.0,26.0,57,5.0,164.2,0.0,0.0
9621,2024,40000194,Sam Burns,26.0,25.0,59,5.0,171.4,0.0,0.0
9611,2024,40004287,Joo-Hyung Kim,28.0,28.0,71,5.0,197.9,0.0,0.0
9664,2024,40002578,Aaron Rai,29.0,29.0,75,5.0,196.0,0.0,0.0
9627,2024,40002605,Sung-Jae Im,30.0,32.0,75,4.8,188.4,0.0,0.0
9660,2024,40000045,Byeong-Hun An,32.0,33.0,62,4.7,168.4,0.0,0.0
9603,2024,40001199,Jon Rahm,33.0,30.0,38,4.7,143.3,0.0,0.0
9620,2024,40000423,Tony Finau,34.0,34.0,59,4.6,156.7,0.0,0.0
9639,2024,40000890,Shane Lowry,36.0,36.0,66,4.5,173.1,0.0,0.0
9609,2024,40000585,Brian Harman,37.0,37.0,67,4.5,174.1,0.0,0.0
9710,2024,40003519,Akshay Bhatia,38.0,38.0,72,4.4,175.4,0.0,0.0
9784,2024,40000977,Maverick McNealy,40.0,40.0,55,4.3,137.4,0.0,0.0
9693,2024,40002576,Matthieu Pavon,41.0,41.0,72,4.2,167.7,0.0,0.0
10602,2024,40004698,Nick Dunlap,42.0,42.0,34,4.2,126.5,0.0,0.0
9643,2024,40001971,JT Poston,43.0,43.0,67,4.0,154.4,0.0,0.0
9785,2024,40002648,Max Greyserman,45.0,46.0,65,4.0,147.2,0.0,0.0
9694,2024,40003612,Austin Eckroat,46.0,45.0,67,3.9,153.1,0.0,0.0
9618,2024,40002785,Sepp Straka,47.0,47.0,71,3.9,153.2,0.0,0.0
9685,2024,40003220,Rasmus Hojgaard,49.0,51.0,62,3.8,137.4,0.0,0.0
9619,2024,40000314,Jason Day,50.0,49.0,55,3.8,122.4,0.0,0.0
9622,2024,40003609,Cameron Young,51.0,50.0,62,3.8,136.7,0.0,0.0
9635,2024,40000270,Corey Conners,53.0,54.0,61,3.8,132.1,0.0,0.0
9607,2024,40000638,Max Homa,54.0,53.0,61,3.7,131.4,0.0,0.0
9717,2024,40003769,Davis Thompson,55.0,57.0,66,3.7,142.2,0.0,0.0
9608,2024,40000430,Matt Fitzpatrick,57.0,55.0,66,3.7,141.6,0.0,0.0
9634,2024,40000946,Denny McCarthy,58.0,58.0,61,3.7,128.9,0.0,0.0
9681,2024,40002899,Thriston Lawrence,59.0,59.0,83,3.6,140.7,0.0,0.0
10030,2024,40005036,Matthew McCarty,61.0,62.0,71,3.5,138.8,0.0,0.0
9636,2024,40000013,Justin Rose,62.0,61.0,61,3.5,122.3,0.0,0.0
9702,2024,40001132,Taylor Pendrith,63.0,63.0,68,3.5,137.9,0.0,0.0
